Albanian_BIN|Albanian, binary sort
Dari_100_CI_AS_WS_SC|Dari-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Dari_100_CI_AS_KS_SC|Dari-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Dari_100_CI_AS_KS_WS_SC|Dari-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Dari_100_CS_AI_SC|Dari-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Dari_100_CS_AI_WS_SC|Dari-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Dari_100_CS_AI_KS_SC|Dari-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Dari_100_CS_AI_KS_WS_SC|Dari-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Dari_100_CS_AS_SC|Dari-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Dari_100_CS_AS_WS_SC|Dari-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Dari_100_CS_AS_KS_SC|Dari-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Dari_100_CS_AS_KS_WS_SC|Dari-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Divehi_90_BIN|Divehi-90, binary sort
Divehi_90_BIN2|Divehi-90, binary code point comparison sort
Divehi_90_CI_AI|Divehi-90, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Divehi_90_CI_AI_WS|Divehi-90, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Divehi_90_CI_AI_KS|Divehi-90, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Divehi_90_CI_AI_KS_WS|Divehi-90, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Divehi_90_CI_AS|Divehi-90, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Divehi_90_CI_AS_WS|Divehi-90, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Divehi_90_CI_AS_KS|Divehi-90, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Divehi_90_CI_AS_KS_WS|Divehi-90, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Divehi_90_CS_AI|Divehi-90, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Divehi_90_CS_AI_WS|Divehi-90, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Divehi_90_CS_AI_KS|Divehi-90, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Divehi_90_CS_AI_KS_WS|Divehi-90, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Divehi_90_CS_AS|Divehi-90, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Divehi_90_CS_AS_WS|Divehi-90, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Divehi_90_CS_AS_KS|Divehi-90, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Divehi_90_CS_AS_KS_WS|Divehi-90, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Divehi_90_CI_AI_SC|Divehi-90, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Divehi_90_CI_AI_WS_SC|Divehi-90, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Divehi_90_CI_AI_KS_SC|Divehi-90, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Divehi_90_CI_AI_KS_WS_SC|Divehi-90, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Divehi_90_CI_AS_SC|Divehi-90, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Divehi_90_CI_AS_WS_SC|Divehi-90, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Divehi_90_CI_AS_KS_SC|Divehi-90, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Divehi_90_CI_AS_KS_WS_SC|Divehi-90, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Divehi_90_CS_AI_SC|Divehi-90, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Divehi_90_CS_AI_WS_SC|Divehi-90, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Divehi_90_CS_AI_KS_SC|Divehi-90, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Divehi_90_CS_AI_KS_WS_SC|Divehi-90, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Divehi_90_CS_AS_SC|Divehi-90, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Divehi_90_CS_AS_WS_SC|Divehi-90, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Divehi_90_CS_AS_KS_SC|Divehi-90, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Divehi_90_CS_AS_KS_WS_SC|Divehi-90, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Divehi_100_BIN|Divehi-100, binary sort
Divehi_100_BIN2|Divehi-100, binary code point comparison sort
Divehi_100_CI_AI|Divehi-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Divehi_100_CI_AI_WS|Divehi-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Divehi_100_CI_AI_KS|Divehi-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Divehi_100_CI_AI_KS_WS|Divehi-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Divehi_100_CI_AS|Divehi-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Divehi_100_CI_AS_WS|Divehi-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Divehi_100_CI_AS_KS|Divehi-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Divehi_100_CI_AS_KS_WS|Divehi-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Divehi_100_CS_AI|Divehi-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Divehi_100_CS_AI_WS|Divehi-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Divehi_100_CS_AI_KS|Divehi-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Divehi_100_CS_AI_KS_WS|Divehi-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Divehi_100_CS_AS|Divehi-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Divehi_100_CS_AS_WS|Divehi-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Divehi_100_CS_AS_KS|Divehi-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Divehi_100_CS_AS_KS_WS|Divehi-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Divehi_100_CI_AI_SC|Divehi-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Divehi_100_CI_AI_WS_SC|Divehi-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Divehi_100_CI_AI_KS_SC|Divehi-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Divehi_100_CI_AI_KS_WS_SC|Divehi-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Divehi_100_CI_AS_SC|Divehi-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Divehi_100_CI_AS_WS_SC|Divehi-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Divehi_100_CI_AS_KS_SC|Divehi-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Divehi_100_CI_AS_KS_WS_SC|Divehi-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Divehi_100_CS_AI_SC|Divehi-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Divehi_100_CS_AI_WS_SC|Divehi-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Divehi_100_CS_AI_KS_SC|Divehi-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Divehi_100_CS_AI_KS_WS_SC|Divehi-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Divehi_100_CS_AS_SC|Divehi-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Divehi_100_CS_AS_WS_SC|Divehi-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Divehi_100_CS_AS_KS_SC|Divehi-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Divehi_100_CS_AS_KS_WS_SC|Divehi-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Estonian_BIN|Estonian, binary sort
Estonian_BIN2|Estonian, binary code point comparison sort
Estonian_CI_AI|Estonian, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Estonian_CI_AI_WS|Estonian, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Estonian_CI_AI_KS|Estonian, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Estonian_CI_AI_KS_WS|Estonian, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Estonian_CI_AS|Estonian, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Estonian_CI_AS_WS|Estonian, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Estonian_CI_AS_KS|Estonian, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Estonian_CI_AS_KS_WS|Estonian, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Estonian_CS_AI|Estonian, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Estonian_CS_AI_WS|Estonian, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Estonian_CS_AI_KS|Estonian, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Estonian_CS_AI_KS_WS|Estonian, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Estonian_CS_AS|Estonian, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Estonian_CS_AS_WS|Estonian, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Estonian_CS_AS_KS|Estonian, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Estonian_CS_AS_KS_WS|Estonian, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Estonian_100_BIN|Estonian-100, binary sort
Estonian_100_BIN2|Estonian-100, binary code point comparison sort
Estonian_100_CI_AI|Estonian-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Estonian_100_CI_AI_WS|Estonian-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Estonian_100_CI_AI_KS|Estonian-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Estonian_100_CI_AI_KS_WS|Estonian-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Estonian_100_CI_AS|Estonian-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Estonian_100_CI_AS_WS|Estonian-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Estonian_100_CI_AS_KS|Estonian-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Estonian_100_CI_AS_KS_WS|Estonian-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Estonian_100_CS_AI|Estonian-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Estonian_100_CS_AI_WS|Estonian-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Estonian_100_CS_AI_KS|Estonian-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Estonian_100_CS_AI_KS_WS|Estonian-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Estonian_100_CS_AS|Estonian-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Estonian_100_CS_AS_WS|Estonian-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Estonian_100_CS_AS_KS|Estonian-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Estonian_100_CS_AS_KS_WS|Estonian-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Estonian_100_CI_AI_SC|Estonian-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Estonian_100_CI_AI_WS_SC|Estonian-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Estonian_100_CI_AI_KS_SC|Estonian-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Estonian_100_CI_AI_KS_WS_SC|Estonian-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Estonian_100_CI_AS_SC|Estonian-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Estonian_100_CI_AS_WS_SC|Estonian-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Estonian_100_CI_AS_KS_SC|Estonian-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Estonian_100_CI_AS_KS_WS_SC|Estonian-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Estonian_100_CS_AI_SC|Estonian-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Estonian_100_CS_AI_WS_SC|Estonian-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Estonian_100_CS_AI_KS_SC|Estonian-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Estonian_100_CS_AI_KS_WS_SC|Estonian-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Estonian_100_CS_AS_SC|Estonian-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Estonian_100_CS_AS_WS_SC|Estonian-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Estonian_100_CS_AS_KS_SC|Estonian-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Estonian_100_CS_AS_KS_WS_SC|Estonian-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Finnish_Swedish_BIN|Finnish-Swedish, binary sort
Finnish_Swedish_BIN2|Finnish-Swedish, binary code point comparison sort
Finnish_Swedish_CI_AI|Finnish-Swedish, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Finnish_Swedish_CI_AI_WS|Finnish-Swedish, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Finnish_Swedish_CI_AI_KS|Finnish-Swedish, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Finnish_Swedish_CI_AI_KS_WS|Finnish-Swedish, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Finnish_Swedish_CI_AS|Finnish-Swedish, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Finnish_Swedish_CI_AS_WS|Finnish-Swedish, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Finnish_Swedish_CI_AS_KS|Finnish-Swedish, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Finnish_Swedish_CI_AS_KS_WS|Finnish-Swedish, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Finnish_Swedish_CS_AI|Finnish-Swedish, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Finnish_Swedish_CS_AI_WS|Finnish-Swedish, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Finnish_Swedish_CS_AI_KS|Finnish-Swedish, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Finnish_Swedish_CS_AI_KS_WS|Finnish-Swedish, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Finnish_Swedish_CS_AS|Finnish-Swedish, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Finnish_Swedish_CS_AS_WS|Finnish-Swedish, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Finnish_Swedish_CS_AS_KS|Finnish-Swedish, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Finnish_Swedish_CS_AS_KS_WS|Finnish-Swedish, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Finnish_Swedish_100_BIN|Finnish-Swedish-100, binary sort
Finnish_Swedish_100_BIN2|Finnish-Swedish-100, binary code point comparison sort
Finnish_Swedish_100_CI_AI|Finnish-Swedish-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Finnish_Swedish_100_CI_AI_WS|Finnish-Swedish-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Finnish_Swedish_100_CI_AI_KS|Finnish-Swedish-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Finnish_Swedish_100_CI_AI_KS_WS|Finnish-Swedish-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Finnish_Swedish_100_CI_AS|Finnish-Swedish-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Finnish_Swedish_100_CI_AS_WS|Finnish-Swedish-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Finnish_Swedish_100_CI_AS_KS|Finnish-Swedish-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Finnish_Swedish_100_CI_AS_KS_WS|Finnish-Swedish-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Finnish_Swedish_100_CS_AI|Finnish-Swedish-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Finnish_Swedish_100_CS_AI_WS|Finnish-Swedish-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Finnish_Swedish_100_CS_AI_KS|Finnish-Swedish-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Finnish_Swedish_100_CS_AI_KS_WS|Finnish-Swedish-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Finnish_Swedish_100_CS_AS|Finnish-Swedish-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Finnish_Swedish_100_CS_AS_WS|Finnish-Swedish-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Finnish_Swedish_100_CS_AS_KS|Finnish-Swedish-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Finnish_Swedish_100_CS_AS_KS_WS|Finnish-Swedish-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Finnish_Swedish_100_CI_AI_SC|Finnish-Swedish-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Finnish_Swedish_100_CI_AI_WS_SC|Finnish-Swedish-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Finnish_Swedish_100_CI_AI_KS_SC|Finnish-Swedish-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Finnish_Swedish_100_CI_AI_KS_WS_SC|Finnish-Swedish-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Finnish_Swedish_100_CI_AS_SC|Finnish-Swedish-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Finnish_Swedish_100_CI_AS_WS_SC|Finnish-Swedish-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Finnish_Swedish_100_CI_AS_KS_SC|Finnish-Swedish-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Finnish_Swedish_100_CI_AS_KS_WS_SC|Finnish-Swedish-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Finnish_Swedish_100_CS_AI_SC|Finnish-Swedish-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Finnish_Swedish_100_CS_AI_WS_SC|Finnish-Swedish-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Finnish_Swedish_100_CS_AI_KS_SC|Finnish-Swedish-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Finnish_Swedish_100_CS_AI_KS_WS_SC|Finnish-Swedish-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Finnish_Swedish_100_CS_AS_SC|Finnish-Swedish-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Finnish_Swedish_100_CS_AS_WS_SC|Finnish-Swedish-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Finnish_Swedish_100_CS_AS_KS_SC|Finnish-Swedish-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Finnish_Swedish_100_CS_AS_KS_WS_SC|Finnish-Swedish-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
French_BIN|French, binary sort
French_BIN2|French, binary code point comparison sort
French_CI_AI|French, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
French_CI_AI_WS|French, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
French_CI_AI_KS|French, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
French_CI_AI_KS_WS|French, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
French_CI_AS|French, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
French_CI_AS_WS|French, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
French_CI_AS_KS|French, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
French_CI_AS_KS_WS|French, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
French_CS_AI|French, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
French_CS_AI_WS|French, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
French_CS_AI_KS|French, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
French_CS_AI_KS_WS|French, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
French_CS_AS|French, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
French_CS_AS_WS|French, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
French_CS_AS_KS|French, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
French_CS_AS_KS_WS|French, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
French_100_BIN|French-100, binary sort
French_100_BIN2|French-100, binary code point comparison sort
French_100_CI_AI|French-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
French_100_CI_AI_WS|French-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
French_100_CI_AI_KS|French-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
French_100_CI_AI_KS_WS|French-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
French_100_CI_AS|French-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
French_100_CI_AS_WS|French-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
French_100_CI_AS_KS|French-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
French_100_CI_AS_KS_WS|French-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
French_100_CS_AI|French-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
French_100_CS_AI_WS|French-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
French_100_CS_AI_KS|French-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
French_100_CS_AI_KS_WS|French-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
French_100_CS_AS|French-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
French_100_CS_AS_WS|French-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
French_100_CS_AS_KS|French-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
French_100_CS_AS_KS_WS|French-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
French_100_CI_AI_SC|French-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
French_100_CI_AI_WS_SC|French-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
French_100_CI_AI_KS_SC|French-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
French_100_CI_AI_KS_WS_SC|French-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
French_100_CI_AS_SC|French-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
French_100_CI_AS_WS_SC|French-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
French_100_CI_AS_KS_SC|French-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
French_100_CI_AS_KS_WS_SC|French-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
French_100_CS_AI_SC|French-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
French_100_CS_AI_WS_SC|French-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
French_100_CS_AI_KS_SC|French-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
French_100_CS_AI_KS_WS_SC|French-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
French_100_CS_AS_SC|French-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
French_100_CS_AS_WS_SC|French-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
French_100_CS_AS_KS_SC|French-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
French_100_CS_AS_KS_WS_SC|French-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Frisian_100_BIN|Frisian-100, binary sort
Frisian_100_BIN2|Frisian-100, binary code point comparison sort
Frisian_100_CI_AI|Frisian-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Frisian_100_CI_AI_WS|Frisian-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Frisian_100_CI_AI_KS|Frisian-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Frisian_100_CI_AI_KS_WS|Frisian-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Frisian_100_CI_AS|Frisian-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Frisian_100_CI_AS_WS|Frisian-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Frisian_100_CI_AS_KS|Frisian-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Frisian_100_CI_AS_KS_WS|Frisian-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Frisian_100_CS_AI|Frisian-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Frisian_100_CS_AI_WS|Frisian-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
